r_i_docking_score,ZINC_ID,SMILES
-19.2936,ZINC000065326906,COC(=O)c1ccc(-c2nc(COC(=O)c3ccc(-n4c(C)c[nH]c4=O)cc3)cs2)cc1
-19.283245,ZINC000920698555,C[C@@H](CNC(=O)[C@@H](C)OC(=O)c1ccc2c(c1)nc(O)n2C)c1ccccc1
-19.278934,ZINC000182368829,O=C(NCc1ccccc1N1CCCCC1)NC[C@H]1CCN(c2ccccc2)C1
-19.278311,ZINC000812915700,O=C(COC(=O)c1ccc(N2CCNC2=O)cc1)Nc1cccc(N2CCCC2=O)c1
-19.278111,ZINC001308745944,CCOC(=O)c1ccn(-c2cccc(CN[C@H]3CC[C@H](C)N(Cc4ccccc4)C3)c2)n1
-19.274994,ZINC001673936098,CN1CC[C@@H]2CN(C(=O)NCc3ccc(COc4ccc(F)cc4)cc3)CC[C@H]21
-19.271572,ZINC000647794345,O=C(Cc1ccc(Br)cc1)Nc1cccc(C(=O)N2Cc3c[nH]nc3C2)c1
-19.265192000000003,ZINC001675886449,CCCCC1CCC(CNC(=O)NC[C@@H]2CN(C)C[C@H]2c2ccccc2)CC1
-19.265095,ZINC000768572246,CC(=O)N1CCc2ccccc2[C@@H]1CC(=O)NC[C@@H](O)c1ccc(-c2ccccc2)cc1
-19.253759,ZINC000474174858,C[C@@H](NC(=O)NCc1ccccc1-n1ccnc1)C(=O)N1Cc2ccccc2C1
-19.240793,ZINC001598168402,CSCc1nc2ccccc2n1CC(=O)Nc1cc(Cc2ccccc2)ccc1O
-19.240715,ZINC000918759700,Cc1cnc(O)n1-c1ccc(C(=O)OCC(=O)Nc2ccc(N3CCOCC3)cc2)cc1
-19.238501,ZINC000533315115,N#Cc1cccc(COc2cccc(CNc3ccc(NC(=O)C4CC4)nc3)c2)c1
-19.238338,ZINC001171786250,Fc1cccc2c1C[C@@H](NCc1cncn1Cc1ccc(Cl)cc1)C2
-19.237053,ZINC001171024382,Fc1ccc(Cn2cncc2CN[C@H]2CCc3c(Cl)cccc3C2)cc1
-19.233435,ZINC001245965257,N[C@@H](Cc1ccccc1)[C@H](O)CNc1ccc(/N=N/c2ccc(S(=O)(=O)O)cc2)cc1
-19.227814,ZINC000054332273,O=C(COC(=O)c1ccc(N2CCNC2=O)cc1)Nc1ccc2ccccc2c1
-19.218327,ZINC000680734263,Cc1cccn2cc(Cc3noc(-c4ccc5c(c4)nc(O)n5C4CCCC4)n3)nc12
-19.218233,ZINC000466167330,C[C@@H](CNC(=O)Nc1ccc(CCC(=O)N2CCCC2)cc1)Oc1ccccc1Cl
-19.213598,ZINC000812906067,O=C(COC(=O)c1ccc(N2CCNC2=O)cc1)Nc1cccc2c1C(=O)c1ccccc1C2=O
-19.207933,ZINC000475235544,CCc1cccc2c(C3CCN(C(=O)c4cccc(-c5cnc6nc(O)n(C)c6c5)c4)CC3)c[nH]c21
-19.205532,ZINC000685590360,CCn1c(SCC(=O)Nc2ccc(-c3cn4ccc(C)cc4n3)cc2)nnc1-c1cccs1
-19.198521,ZINC000474902943,O=C(NCc1ccc(COc2ccccc2)cc1)c1cnn(CCO)c1-c1ccccc1
-19.193972,ZINC000435785603,O=C(NC[C@@H]1CCN(c2ccc(F)cc2)C1)N[C@@H]1[C@@H]2CCc3ccccc3[C@H]21
-19.187687,ZINC000465325077,COc1cccc(N2CCC[C@@H](NC(=O)C(=O)Nc3ccccc3CCC(F)(F)F)C2)c1
-19.180397,ZINC000772549998,COC(=O)c1ccc(C(=O)O[C@H](C)C(=O)Nc2sc3c(c2C#N)CCCCC3)c(F)c1
-19.179823000000003,ZINC001151414763,O=C(c1cc2cnc(Cl)cc2[nH]1)N1CCN(c2ccc3[nH]ccc3c2)CC1
-19.178778,ZINC000051199132,O=C(COC(=O)c1ccc(N2CCOC2=O)cc1)NCCN1CCc2ccccc21
-19.175028,ZINC001035135445,O=C([C@@H]1CCc2c[nH]nc2C1)N1CCC[C@@H]1CNCC1CCCCC1
-19.174923,ZINC000516290045,O=C(NC[C@H]1CCN(c2ccc(F)cc2)C1)C(=O)Nc1ccc(=O)n(Cc2ccccc2Cl)c1
-19.173193,ZINC001477497517,CN1C[C@@H](CNC(=O)N[C@@H]2CC[C@@H]3CCCC[C@@H]3C2)[C@H](c2ccccc2)C1
-19.171791,ZINC001678982389,Cc1ccc(Oc2ccccc2CCNC(=O)NCCCC(=O)N2Cc3ccccc3C2)cc1
-19.171482,ZINC000918759657,Cc1cnc(O)n1-c1ccc(C(=O)O[C@H](C)C(=O)Nc2nc(-c3ccccc3)cs2)cc1
-19.167038,ZINC000467902706,O=C(NCCc1cccc(O)c1)NCc1nc2c(s1)C[C@H](c1ccccc1)CC2
-19.159292,ZINC000097959112,O=C1N=C(O)/C(=C\c2cccc(OCc3cccc4ccccc43)c2)C(=O)N1c1ccc(Br)cc1
-19.158882,ZINC001191211734,CC(C)(C)OC(=O)N1CCC2(C[C@@H](CNC(=O)NCCCc3ccccc3)O2)CC1
-19.154505,ZINC000063990589,COc1ccc(NC(=O)[C@@H](C)OC(=O)c2ccc(-n3c(C)c[nH]c3=O)cc2)c(OC)c1
-19.153206,ZINC000638290871,CCc1ccc(O)c(NC(=O)Cc2cccc3c2CCNC3)c1
-19.150768,ZINC000616050662,O=C(NC[C@H]1CCN(c2ccccc2)C1)N[C@@H](c1cc2ccccc2o1)c1ccccc1
-19.148623,ZINC001654277392,CC(C)(C)OC(=O)CCCCC(=O)N1CCC(=C2C(=O)Nc3cc(Cl)ccc32)CC1
-19.145426,ZINC000845321737,O=C(COC(=O)c1ccc(-n2ccnc2O)cc1)NC(=O)NC1CCCCC1
-19.142406,ZINC000767542127,C[C@H](OC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)c1c[nH]c2ncccc12
-19.139891,ZINC000561994016,Cc1c([C@@H](C)NC(=O)N[C@H](C)c2nccn2-c2ccccc2)cnn1-c1ccc(F)cc1
-19.13908,ZINC001630181917,O=C(NC[C@@H]1CCCO[C@@H]1c1ccccc1)N[C@@H]1CCCN(c2ccc(OC(F)F)cc2)C1
-19.137781,ZINC001264226358,CCCc1ccc(-c2nc(NC(=O)CN3c4ccccc4OCCC3=O)sc2C)cc1
-19.137102,ZINC000812907427,O=C(COC(=O)c1ccc(N2CCNC2=O)cc1)NCCC(c1ccccc1)c1ccccc1
-19.136766,ZINC000521172863,c1nnc(CNCc2cccc(OCCCc3ccccc3)c2)n1-c1ccccc1
-19.134237,ZINC000474504383,Cc1ccc(CNC(=O)N[C@H](C)C(=O)N2Cc3ccccc3C2)c(O[C@@H]2CCOC2)c1
-19.127008,ZINC001171024144,Clc1ccc(Cn2cncc2CN[C@H]2CCc3c(Cl)cccc3C2)cc1
-19.126116,ZINC000768014844,Cn1c(O)nc2cc(C(=O)OCc3nc(-c4cc(F)c(F)c(F)c4)no3)ccc21
-19.122391,ZINC000475233947,Cn1c(O)nc2ncc(-c3cccc(C(=O)NCCCN4CCN(C)C[C@@H]4c4ccccc4)c3)cc21
-19.122269,ZINC000523911560,O=C(NC[C@H](c1cccs1)N1CCCC1)N[C@@H]1CCCN(c2cccc(F)c2)C1
-19.120588,ZINC000674262533,O=C1C[C@@H](N2CCC(n3c(O)nc4ccccc43)CC2)C(=O)N1c1ccc(Oc2ccccc2)cc1
-19.117844,ZINC001645453107,O=C(Nc1cnc2[nH]ncc2c1)c1cccc(OCc2cccc(Cl)c2)c1
-19.112173,ZINC000560461281,O[C@H](CNCc1nnc2n1CCCCC2)COc1ccc(-c2ccccc2)cc1
-19.109371,ZINC001645103358,O=C(Nc1c[nH]c2nccc-2c1)c1cc(OCc2ccccc2)ccc1O
-19.106859,ZINC001459932191,CCOC(=O)C1CCC(O)(C[C@@H](O)CN[C@H](Cc2ccccc2)c2cccs2)CC1
-19.10416,ZINC000609643340,N#Cc1ccc(OCc2cccc(C(=O)NC[C@@H]3CCCO[C@@H]3c3ccccc3)c2)cc1
-19.097212,ZINC001680149937,COC(=O)c1cc(NC(=O)NCCCc2ccc(C)cc2C)cc2ccccc21
-19.095966,ZINC001666814899,CN1C[C@@H](CNC(=O)Nc2ccc(OCc3ccccc3)cc2)[C@H](c2ccccc2)C1
-19.094398,ZINC000518815359,C[C@@H](Oc1ccccc1F)C(=O)Nc1cccc(OCc2cn3ccccc3n2)c1
-19.09359,ZINC001403628277,CCn1nncc1CN[C@H](C)CN(C)C(=O)[C@@H]1CCc2c[nH]nc2C1
-19.088533,ZINC001256153025,COc1cccc(C[C@H](C)NCc2cncn2Cc2ccc(Cl)cc2)c1
-19.08029,ZINC000743560423,O=C(NCC[C@H](O)c1ccccc1)NC[C@H]1CCN(c2cccc(Br)c2)C1
-19.075834,ZINC001627526961,COC(=O)c1cc(NC(=O)NCCCc2cn(-c3ccccc3)nc2C)ccc1SC
-19.075159,ZINC001435321567,Cc1sc(C(=O)N[C@@H]2CCC[C@H](N(C)C)C2)cc1-c1ccc(F)cc1
-19.075119,ZINC001307711621,O=C(CN[C@]1(Cc2ccc(Cl)cc2)CCOC1)NCC1(c2ccccc2)CCCCC1
-19.071674,ZINC000483960439,CCO[C@@H]1C[C@H](NC(=O)COc2ccc(N3CCCC3=O)cc2)[C@@H]1Oc1ccccc1
-19.071421,ZINC000525681252,COc1cccc(CCNC(=O)c2c[nH]cc2-c2ccc(F)cc2)c1OC
-19.071135,ZINC000591103703,O=C(Nc1sccc1C(=O)N1CCN(c2ccccc2F)CC1)c1ccc2c(c1)CCC2
-19.070107,ZINC000745270001,O=C(COC(=O)c1c[nH]cc1-c1ccc(F)cc1)N1CCC[C@H]2CCCC[C@H]21
-19.067995,ZINC001251946505,CC(C)(C)OC(=O)N1C[C@H](NC[C@H](O)COc2ccc(F)cc2)Cc2ccccc21
-19.06501,ZINC001563863418,COC(=O)[C@H]1C[C@@H]2C[C@H](NC(=O)N[C@@H](c3ccc(CC(C)C)cc3)C3CC3)[C@@H]2C1
-19.063232,ZINC001654855285,C[C@H](c1ccccc1)[C@H](O)CN1C[C@@H](c2ccccc2)[C@H](C(=O)OC(C)(C)C)C1
-19.060621,ZINC001681622176,O=C(NCCCN1CCc2ccccc21)N[C@@H]1CCCC[C@H]1Cc1ccccc1
-19.05794,ZINC000537873581,O=C(NCC1CCN(c2ccncc2)CC1)NCC1(Cc2ccccc2)CCC1
-19.057806,ZINC000782826535,Cc1ccc(COc2cccc(NC(=O)C(=O)Nc3c[nH]nc3-c3ccccc3)c2)cc1
-19.053633,ZINC000474756003,CC(C)[C@H]1C[C@@H](NC(=O)N[C@H](C)C(=O)N2Cc3ccccc3C2)c2ccccc21
-19.051186,ZINC001195621741,COC(=O)/C=C/c1ccc(OCCN2C[C@@H](c3ccccc3)[C@H](C(=O)OC)C2)cc1
-19.051121,ZINC000044857700,O=C(CCN[C@H](Cc1ccccc1)c1ccccc1)N1CCN(c2ccccn2)CC1
-19.050739,ZINC001635207999,O=C(NCCCc1c[nH]c2ccc(F)cc12)N[C@@H]1C[C@H]1c1ccccc1F
-19.041443,ZINC000516767232,C[C@H](Cc1ccc(O)cc1)NC(=O)NCc1ccc(CN)cc1
-19.037693,ZINC000919151359,O=C(COC(=O)c1c[nH]cc1-c1ccccc1)N(c1ccccc1)[C@@H]1C=CS(=O)(=O)C1
-19.037428,ZINC001682002865,O=C(NCCc1ccc(N2CCCCC2)cc1)NCc1ccccc1CN1CCCCC1
-19.036755,ZINC001666487800,CN(C)CC[C@H](NC(=O)Nc1cccc(C#Cc2cccs2)c1)c1cccnc1
-19.031464,ZINC001171786251,Fc1cccc2c1C[C@H](NCc1cncn1Cc1ccc(Cl)cc1)C2
-19.03064,ZINC001181369206,COc1cc(NC(=O)[C@@H](C)c2ccc(N3Cc4ccccc4C3=O)cc2)cc2cccnc21
-19.028738,ZINC001661640289,CCc1cc(NC(=O)N[C@@H]2CCc3nc(-c4ccc(F)cc4F)cn3C2)ccc1F
-19.027779,ZINC001136327089,C#Cc1cccc(NC(=O)CNC(=O)c2ccc(-n3ccnc3O)cc2)c1
-19.027235,ZINC000540109547,O=C(NCc1ccc(-n2cnc3ccccc32)cc1)N[C@@H](c1ccccc1)[C@@H]1CCOC1
-19.026773,ZINC001469646771,C[C@H](c1ccccc1)[C@@H](O)CNC(=O)N[C@@H]1CCCN(c2ccccc2F)C1
-19.020096,ZINC000540423276,CCn1c2nnc(CN[C@H](C)c3ccc(OCC4CC4)c(F)c3)n2c2ccccc2c1=O
-19.019686,ZINC000499673477,CC(C)[C@@H](Oc1ccccc1C#N)C(=O)Nc1cccc(C(=O)N2CCc3ccccc32)c1
-19.01837,ZINC000522604970,COc1cccc(N2CC[C@H](CNC(=O)N[C@@H](c3ccccc3)c3ccc(F)cc3)C2)c1
-19.017719,ZINC001253388632,CN1C[C@@H](CNC(=O)NCC(F)(F)c2ccc(Br)cc2)[C@H](c2ccccc2)C1
