"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL944";"CHLOROPROCAINE HYDROCHLORIDE";"AMPRES|CHLOROPROCAINE HCL|CHLOROPROCAINE HYDROCHLORIDE|CHLORPROCAINE CHLORIDE|CLOROTEKAL|Chloroprocaine hydrochloride|NESACAINE-MPF|Nesacaine";"Small molecule";"4.0";"307.22";"";"";"2.42";"55.56";"4";"1";"0";"6";"N";"0.64";"None";"8.96";"2.48";"0.92";"1";"MOL";"0";"18";"4";"2";"0";"270.1135";"-1.31";"BASE";"C13H20Cl2N2O2";"CCN(CC)CCOC(=O)c1ccc(N)cc1Cl.Cl";"SZKQYDBPUCZLRX-UHFFFAOYSA-N"
"CHEMBL1098";"BUPIVACAINE";"Anekain|BUCAINE|BUPIVACAINE|BUPIVACAINE LIPOSOME|EXPAREL|LIPOSOMAL BUPIVACAINE|LIQ-865|LIQ865|Marcaine|POSIMIR|ROPIVACAINE HYDROCHLORIDE IMPURITY, BUPIVACAINE-|SKY-0402|SKY0402|Sensorcaine";"Small molecule";"4.0";"288.44";"27";"109";"3.90";"32.34";"2";"1";"0";"5";"N";"0.89";"13.62";"8.00";"4.52";"3.82";"1";"MOL";"0";"21";"3";"1";"0";"288.2202";"-1.36";"NEUTRAL";"C18H28N2O";"CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C";"LEBVLXFERQHONN-UHFFFAOYSA-N"
"CHEMBL1200464";"PROPARACAINE HYDROCHLORIDE";"AK-TAINE|Alcaine|KAINAIR|NSC-759896|Ophthaine|Ophthetic|PROPARACAINE HCL|PROPARACAINE HYDROCHLORIDE|PROXYMETACAINE|PROXYMETACAINE HYDROCHLORIDE|Paracaine";"Small molecule";"4.0";"330.86";"18";"26";"2.56";"64.79";"5";"1";"0";"9";"N";"0.56";"None";"8.96";"2.60";"1.03";"1";"MOL";"0";"21";"5";"2";"0";"294.1943";"-0.94";"BASE";"C16H27ClN2O3";"CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl";"BFUUJUGQJUTPAF-UHFFFAOYSA-N"
"CHEMBL1195";"PROPOXYCAINE";"PROPOXYCAINE|Propoxycaine";"Small molecule";"4.0";"294.40";"13";"19";"2.56";"64.79";"5";"1";"0";"9";"N";"0.56";"None";"8.96";"2.60";"1.03";"1";"MOL";"0";"21";"5";"2";"0";"294.1943";"-1.01";"BASE";"C16H26N2O3";"CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC";"CAJIGINSTLKQMM-UHFFFAOYSA-N"
"CHEMBL1196";"PROPARACAINE";"Alcaine|Kainair|Ophthaine|Ophthetic|PROPARACAINE|PROXYMETACAINE|Paracaine|Proparacaine";"Small molecule";"4.0";"294.39";"113";"301";"2.56";"64.79";"5";"1";"0";"9";"N";"0.56";"None";"8.96";"2.60";"1.03";"1";"MOL";"0";"21";"5";"2";"0";"294.1943";"-0.94";"BASE";"C16H26N2O3";"CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N";"KCLANYCVBBTKTO-UHFFFAOYSA-N"
"CHEMBL529437";"COCAINE HYDROCHLORIDE";"COCAINE HCL|COCAINE HYDROCHLORIDE|COCAINE HYDROCHLORIDE CII|COCAINE MURIATE|COCAINUM MURIATICUM|GOPRELTO|MCV 4526|NIH 8211|NSC-25263|NUMBRINO|RX-0041-002";"Small molecule";"4.0";"339.82";"11";"21";"1.87";"55.84";"5";"0";"0";"3";"N";"0.80";"None";"8.85";"2.28";"0.82";"1";"MOL";"0";"22";"5";"0";"0";"303.1471";"0.93";"BASE";"C17H22ClNO4";"COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C.Cl";"PIQVDUKEQYOJNR-VZXSFKIWSA-N"
"CHEMBL1200715";"HEXYLCAINE HYDROCHLORIDE";"Cyclaine|HEXYLCAINE HCL|HEXYLCAINE HYDROCHLORIDE|Hexylcaine hydrochloride";"Small molecule";"4.0";"297.83";"8";"19";"3.15";"38.33";"3";"1";"0";"5";"N";"0.83";"None";"9.87";"3.83";"1.43";"1";"MOL";"0";"19";"3";"1";"0";"261.1729";"-0.24";"BASE";"C16H24ClNO2";"CC(CNC1CCCCC1)OC(=O)c1ccccc1.Cl";"MTFCPNHRBINLRQ-UHFFFAOYSA-N"
"CHEMBL1200396";"BUPIVACAINE HYDROCHLORIDE";"AH-2250|BUPIVAC HCL|BUPIVACAINE HCL|BUPIVACAINE HYDROCHLORIDE|BUPIVACAINE HYDROCHLORIDE HYDRATE|BUPIVACAINE HYDROCHLORIDE KIT|BUPIVACAINE HYDROCHLORIDE MONOHYDRATE|BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE|BUPIVACAINE HYDROCHLORIDE RS|BUPIVACAINI HYDROCHLORIDUM|CARBOSTESIN|LAC-43|MARCAIN|MARCAINE HYDROCHLORIDE|MARCAINE HYDROCHLORIDE PRESERVATIVE FREE|Marcaine|NSC-758631|SENSORCAINE|WIN 11,318|WIN-11318|XARACOLL";"Small molecule";"4.0";"324.90";"115";"288";"3.90";"32.34";"2";"1";"0";"5";"N";"0.89";"13.62";"8.00";"4.52";"3.82";"1";"MOL";"0";"21";"3";"1";"0";"288.2202";"-1.36";"NEUTRAL";"C18H29ClN2O";"CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl";"SIEYLFHKZGLBNX-UHFFFAOYSA-N"
"CHEMBL1087";"MEPIVACAINE";"1-METHYL-2',6'-PIPECOLOXYLIDIDE|2',6'-PIPECOLOXYLIDIDE, 1-METHYL-|APF-135|CARBOPLYIN DENTAL|Carbocaine|DL-MEPIVACAINE|MEPISV|MEPIVACAINE|Mepivacaine|Polocaine|Polocaine-Mpf|TEVACAINE";"Small molecule";"4.0";"246.35";"117";"328";"2.73";"32.34";"2";"1";"0";"2";"Y";"0.87";"13.62";"7.25";"3.19";"2.96";"1";"MOL";"0";"18";"3";"1";"0";"246.1732";"-1.02";"NEUTRAL";"C15H22N2O";"Cc1cccc(C)c1NC(=O)C1CCCCN1C";"INWLQCZOYSRPNW-UHFFFAOYSA-N"
"CHEMBL1200409";"LIDOCAINE HYDROCHLORIDE";"AKTEN|ALPHACAINE HYDROCHLORIDE|ANESTACON|ANHYDROUS LIDOCAINE HYDROCHLORIDE|ANODESYN|BISMODYNE|BRADOSOL PLUS|CALGEL|CO-PHENYLCAINE FTE|DENELA|DEQUASPRAY|EMLA|GERMOLOIDS|GERMOLOIDS COMPLETE|GLYDO|HEMOCANE|IGLU|INSTILLAGEL|LARYNG-O-JET KIT|LARYNGOJET|LARYNGOTRACHEAL ANESTHESIA KIT|LIDO HCL|LIDOCAINE HCL|LIDOCAINE HYDROCHLORIDE|LIDOCAINE HYDROCHLORIDE ANHYDROUS|LIDOCAINE HYDROCHLORIDE MONOHYDRATE|LIDOCAINE HYDROCHLORIDE PRESERVATIVE FREE|LIDOCAINE HYDROCHLORIDE USP|LIDOCAINE HYDROCHLORIDE VISCOUS|LIDOCAINE VISCOUS|LIDOCAINI HYDROCHLORIDUM|LIDOCATON|LIGNOCAINE (AS HYDROCHLORIDE)|LIGNOCAINE HYDROCHLORIDE|LIGNOKENT|LIGNOSPAN SPECIAL|LIGNOSTAB|LIGNOSTAB A 100|LIGNOSTAB N|LIGNOSTAB-A|LTA II KIT|Lidopen|MEDIJEL|NSC-757420|ORAGARD|PEDIATRIC LTA KIT|PREPARATION H|REXOCAINE|VERSATIS|XYLOCAINE DENTAL|XYLOCAINE HYDROCHLORIDE|XYLOCAINE PRESERVATIVE FREE|XYLOCAINE VISCOUS|XYLOTOX E80|Xylocaine|Zingo";"Small molecule";"4.0";"288.82";"7";"22";"2.58";"32.34";"2";"1";"0";"5";"N";"0.85";"13.78";"7.75";"2.84";"2.33";"1";"MOL";"0";"17";"3";"1";"0";"234.1732";"-1.69";"NEUTRAL";"C14H25ClN2O2";"CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O";"YECIFGHRMFEPJK-UHFFFAOYSA-N"
